artist_id;artist_sp_id;name;popularity;followers;total_albums
ar-e15c4eb7-7cbf-40e3-9575-fe14e8273177;4Z8W4fKeB5YxbusRsdQVPb;Radiohead;82;5975949;13
ar-f5e857ce-a875-463d-be2d-30b48eb213fa;3kjuyTCjPG1WMFCiyc5IuB;Arcade Fire;72;1909433;9
ar-1ab1e7c5-855f-4236-88af-4f7111cfa5c8;6J6yx1t3nwIDyPXk5xa7O8;Vetusta Morla;64;610810;10
ar-2f1b41fc-f669-4f05-b4b2-0e696263d1a3;7bu3H8JO7d0UbMoVzbo70s;The Cure;76;3368680;36
ar-6bae5886-e891-4560-91ad-fdaf784d60bc;0oSGxfWSnnOXhD2fKuz2Gy;David Bowie;80;7338733;66
ar-5cc8f7b7-52d5-475e-863c-ac7083103dcb;1dfeR4HaWDbWqFHLkxsg1d;Queen;87;37224845;76
ar-547ea8ff-557a-4f28-af1f-58ff375f5a21;0XNa1vTidXlvJ2gHSsRi4A;Franz Ferdinand;68;2119456;8
ar-2b99e5a7-7362-4f3d-b2f7-e78e47886347;4I2BJf80C0skQpp1sQmA0h;Belle & Sebastian;59;537325;19
ar-4f0c335f-1c1e-4673-add6-98b92a6a3f92;4gzpq5DPGxSnKTe4SA8HAU;Coldplay;93;32428394;15
ar-7a34710b-cb67-43b1-84b3-181e4a4a2204;2ye2Wgw4gimLv2eAKyk1NB;Metallica;84;19369679;43
ar-18bd522c-b842-47d5-8253-bcd75b128092;6eUKZXaKkcviH0Ku9w2n3V;Ed Sheeran;96;87031065;10
ar-028faccf-3f41-4a2f-befb-08e572c9c5bf;6mdiAmATAx73kdxrNrnlao;Iron Maiden;77;6816908;52
ar-9b7563d8-b9a4-4b22-8396-c8048d3a5c0b;711MCceyCBcFnzjGY4Q7Un;AC/DC;84;21114182;21
ar-0364f200-9da2-41bf-84fe-b45487e83170;3bgsNtcf5d5h9jbQbohfBK;Extremoduro;64;947714;12
ar-8f4ea420-c57e-480b-88a5-d2c998b111d1;0du5cEVh5yTK9QJze8zA0C;Bruno Mars;91;34952953;4
ar-bcd41cc4-364c-483c-833f-d45fcfeff971;0YC192cP3KPCRWx8zr8MfZ;Hans Zimmer;81;2711978;117
ar-d827183b-b430-4a09-8c08-a1afef300ff0;1Xyo4u8uXC1ZmMpatF05PJ;The Weeknd;96;37969273;11
ar-68481c8d-e3bc-4d73-861f-4e562eddf9a0;5ZqnEfVdEGmoPxtELhN7ai;Estopa;71;1361076;14
ar-bb858c9a-8dc9-429a-8845-91e665f3f194;5EBH204cwRkvAWknwTAjCQ;Marea;62;477426;9
ar-b4365d09-a271-45dc-a78a-9a2d0f59d854;1tZ99AnqyjgrmPwLfGU5eo;Fito y Fitipaldis;69;1357631;11
ar-aba8e2f3-b93b-425e-bdb2-482cdd56af8d;4U7lXyKdSf1JbM1aXvsodC;La Oreja de Van Gogh;74;2480668;16
ar-a87e7115-83e5-4cb3-89c5-f8efd5f58abd;6XyY86QOPPrYVGvF9ch6wz;Linkin Park;86;20275686;23
ar-a2e02f4d-0a05-4a42-8fc6-0c20ef753e1c;4dpARuHxo51G3z768sgnrY;Adele;94;30271591;3
ar-0922b510-d9ad-4f8c-9095-086c443e26a1;53XhwfbYqKCa1cC15pYq2q;Imagine Dragons;89;36417843;8
ar-d2d05101-aa3b-4d38-9aef-46daa51964bd;3eqjTLE0HfPfh78zjh6TqT;Bruce Springsteen;79;4410766;32
